flight_number,airline,flight_date,direction,scheduled_time_local,scheduled_time_utc,actual_time_local,actual_time_utc,status,is_cancelled,origin_icao,origin_iata,destination_icao,destination_iata,aircraft_model,aircraft_reg,relevant_timestamp,actual_temp_c,actual_wind_speed_kmh,actual_wind_gusts_kmh,actual_precipitation_mm,actual_snowfall_cm,actual_visibility_m,actual_cloud_cover_pct,actual_weather_code,forecast_temp_c,forecast_wind_speed_kmh,forecast_wind_gusts_kmh,forecast_precipitation_mm,forecast_snowfall_cm,forecast_visibility_m,forecast_cloud_cover_pct,forecast_weather_code,forecast_error_visibility_m,forecast_error_wind_kmh,forecast_error_snowfall_cm
AS 2153,Alaska,2025-06-08,Departure,2025-06-08 13:43-07:00,2025-06-08 20:43Z,2025-06-08 14:09-07:00,2025-06-08 21:09Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N626QX,2025-06-08T14:00:00,27.7,4.8,16.6,0.0,0.0,,0,0,,,,,,,,,,,
AS 2054,Alaska,2025-06-08,Departure,2025-06-08 19:23-07:00,2025-06-09 02:23Z,2025-06-08 20:27-07:00,2025-06-09 03:27Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N656QX,2025-06-08T19:00:00,24.2,5.5,8.6,0.0,0.0,,0,0,,,,,,,,,,,
AS 2152,Alaska,2025-06-08,Arrival,2025-06-08 13:03-07:00,2025-06-08 20:03Z,2025-06-08 12:55-07:00,2025-06-08 19:55Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N626QX,2025-06-08T13:00:00,27.2,5.2,17.3,0.0,0.0,,0,0,,,,,,,,,,,
AS 2053,Alaska,2025-06-08,Arrival,2025-06-08 18:43-07:00,2025-06-09 01:43Z,2025-06-08 19:23-07:00,2025-06-09 02:23Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N656QX,2025-06-08T19:00:00,24.2,5.5,8.6,0.0,0.0,,0,0,,,,,,,,,,,
AS 2364,Alaska,2025-06-08,Arrival,2025-06-08 23:58-07:00,2025-06-09 06:58Z,2025-06-08 23:51-07:00,2025-06-09 06:51Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N622QX,2025-06-09T00:00:00,19.8,3.6,5.0,0.0,0.0,,0,0,,,,,,,,,,,
AS 2067,Alaska,2025-06-09,Departure,2025-06-09 06:03-07:00,2025-06-09 13:03Z,2025-06-09 06:09-07:00,2025-06-09 13:09Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N622QX,2025-06-09T06:00:00,18.9,11.5,20.5,0.0,0.0,,0,0,,,,,,,,,,,
AS 2153,Alaska,2025-06-09,Departure,2025-06-09 13:43-07:00,2025-06-09 20:43Z,2025-06-09 13:54-07:00,2025-06-09 20:54Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N656QX,2025-06-09T14:00:00,30.7,11.6,25.6,0.0,0.0,,0,0,,,,,,,,,,,
AS 2054,Alaska,2025-06-09,Departure,2025-06-09 19:23-07:00,2025-06-10 02:23Z,2025-06-09 20:05-07:00,2025-06-10 03:05Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N646QX,2025-06-09T19:00:00,26.8,8.2,14.4,0.0,0.0,,0,0,,,,,,,,,,,
AS 2152,Alaska,2025-06-09,Arrival,2025-06-09 13:03-07:00,2025-06-09 20:03Z,2025-06-09 12:57-07:00,2025-06-09 19:57Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N656QX,2025-06-09T13:00:00,29.9,9.6,23.8,0.0,0.0,,0,0,,,,,,,,,,,
AS 2053,Alaska,2025-06-09,Arrival,2025-06-09 18:43-07:00,2025-06-10 01:43Z,2025-06-09 18:47-07:00,2025-06-10 01:47Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N646QX,2025-06-09T19:00:00,26.8,8.2,14.4,0.0,0.0,,0,0,,,,,,,,,,,
AS 2067,Alaska,2025-06-10,Departure,2025-06-10 06:03-07:00,2025-06-10 13:03Z,2025-06-10 06:02-07:00,2025-06-10 13:02Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N649QX,2025-06-10T06:00:00,21.4,13.1,27.0,0.0,0.0,,0,0,,,,,,,,,,,
AS 2153,Alaska,2025-06-10,Departure,2025-06-10 13:43-07:00,2025-06-10 20:43Z,2025-06-10 14:01-07:00,2025-06-10 21:01Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N651QX,2025-06-10T14:00:00,29.2,14.1,32.0,0.0,0.0,,20,1,,,,,,,,,,,
AS 2054,Alaska,2025-06-10,Departure,2025-06-10 19:23-07:00,2025-06-11 02:23Z,2025-06-10 20:16-07:00,2025-06-11 03:16Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N622QX,2025-06-10T19:00:00,25.3,8.1,14.4,0.0,0.0,,95,3,,,,,,,,,,,
AS 2364,Alaska,2025-06-10,Arrival,2025-06-09 23:58-07:00,2025-06-10 06:58Z,2025-06-10 00:41-07:00,2025-06-10 07:41Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N649QX,2025-06-10T00:00:00,22.7,8.1,18.0,0.0,0.0,,0,0,,,,,,,,,,,
AS 2152,Alaska,2025-06-10,Arrival,2025-06-10 13:03-07:00,2025-06-10 20:03Z,2025-06-10 12:56-07:00,2025-06-10 19:56Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N651QX,2025-06-10T13:00:00,28.7,15.1,34.9,0.0,0.0,,42,1,,,,,,,,,,,
AS 2053,Alaska,2025-06-10,Arrival,2025-06-10 18:43-07:00,2025-06-11 01:43Z,2025-06-10 19:19-07:00,2025-06-11 02:19Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N622QX,2025-06-10T19:00:00,25.3,8.1,14.4,0.0,0.0,,95,3,,,,,,,,,,,
AS 2067,Alaska,2025-06-11,Departure,2025-06-11 06:03-07:00,2025-06-11 13:03Z,2025-06-11 06:18-07:00,2025-06-11 13:18Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N634QX,2025-06-11T06:00:00,18.7,5.7,7.6,0.0,0.0,,100,3,,,,,,,,,,,
AS 2153,Alaska,2025-06-11,Departure,2025-06-11 13:43-07:00,2025-06-11 20:43Z,2025-06-11 14:40-07:00,2025-06-11 21:40Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N656QX,2025-06-11T14:00:00,25.5,14.2,37.4,0.0,0.0,,100,3,,,,,,,,,,,
AS 2054,Alaska,2025-06-11,Departure,2025-06-11 19:23-07:00,2025-06-12 02:23Z,2025-06-11 19:49-07:00,2025-06-12 02:49Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N664QX,2025-06-11T19:00:00,20.8,10.9,18.7,0.0,0.0,,100,3,,,,,,,,,,,
AS 2364,Alaska,2025-06-11,Arrival,2025-06-10 23:58-07:00,2025-06-11 06:58Z,2025-06-11 00:00-07:00,2025-06-11 07:00Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N634QX,2025-06-11T00:00:00,21.0,6.8,12.6,0.0,0.0,,100,3,,,,,,,,,,,
N6 16EA,TCA,2025-06-11,Arrival,2025-06-11 11:39-07:00,2025-06-11 18:39Z,2025-06-11 11:39-07:00,2025-06-11 18:39Z,Expected,False,KSFF,SFF,KPUW,PUW,Pilatus PC-12,,2025-06-11T12:00:00,25.2,13.7,29.5,0.0,0.0,,100,3,,,,,,,,,,,
AS 2152,Alaska,2025-06-11,Arrival,2025-06-11 13:03-07:00,2025-06-11 20:03Z,2025-06-11 13:42-07:00,2025-06-11 20:42Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N656QX,2025-06-11T13:00:00,25.8,18.0,37.4,0.0,0.0,,100,3,,,,,,,,,,,
AS 2053,Alaska,2025-06-11,Arrival,2025-06-11 18:43-07:00,2025-06-12 01:43Z,2025-06-11 18:54-07:00,2025-06-12 01:54Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N664QX,2025-06-11T19:00:00,20.8,10.9,18.7,0.0,0.0,,100,3,,,,,,,,,,,
AS 2364,Alaska,2025-06-11,Arrival,2025-06-11 23:58-07:00,2025-06-12 06:58Z,2025-06-11 23:49-07:00,2025-06-12 06:49Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N625QX,2025-06-12T00:00:00,16.5,4.0,15.8,0.0,0.0,,99,3,,,,,,,,,,,
AS 2067,Alaska,2025-06-12,Departure,2025-06-12 06:03-07:00,2025-06-12 13:03Z,2025-06-12 06:08-07:00,2025-06-12 13:08Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N625QX,2025-06-12T06:00:00,14.8,8.1,15.1,0.0,0.0,,9,0,,,,,,,,,,,
1I 487,NetJets Aviation,2025-06-12,Departure,2025-06-12 11:30-07:00,2025-06-12 18:30Z,2025-06-12 11:57-07:00,2025-06-12 18:57Z,Departed,False,KPUW,PUW,KBZN,BZN,Embraer Phenom 300,N487QS,2025-06-12T12:00:00,22.4,12.0,28.8,0.0,0.0,,100,3,,,,,,,,,,,
AS 2132,Alaska,2025-06-12,Departure,2025-06-12 13:40-07:00,2025-06-12 20:40Z,2025-06-12 14:25-07:00,2025-06-12 21:25Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N622QX,2025-06-12T14:00:00,23.6,14.8,32.4,0.0,0.0,,72,2,,,,,,,,,,,
AS 2439,Alaska,2025-06-12,Departure,2025-06-12 19:23-07:00,2025-06-13 02:23Z,2025-06-12 19:32-07:00,2025-06-13 02:32Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N658QX,2025-06-12T19:00:00,20.4,13.4,26.3,0.0,0.0,,5,0,,,,,,,,,,,
1I 487,NetJets Aviation,2025-06-12,Arrival,2025-06-12 10:19-07:00,2025-06-12 17:19Z,2025-06-12 10:53-07:00,2025-06-12 17:53Z,Expected,False,KOAK,OAK,KPUW,PUW,Embraer Phenom 300,N487QS,2025-06-12T10:00:00,20.8,10.6,25.9,0.0,0.0,,95,3,,,,,,,,,,,
AS 2152,Alaska,2025-06-12,Arrival,2025-06-12 13:03-07:00,2025-06-12 20:03Z,2025-06-12 13:31-07:00,2025-06-12 20:31Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N622QX,2025-06-12T13:00:00,23.1,13.9,31.3,0.0,0.0,,93,3,,,,,,,,,,,
AS 2438,Alaska,2025-06-12,Arrival,2025-06-12 18:43-07:00,2025-06-13 01:43Z,2025-06-12 18:44-07:00,2025-06-13 01:44Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N658QX,2025-06-12T19:00:00,20.4,13.4,26.3,0.0,0.0,,5,0,,,,,,,,,,,
AS 2067,Alaska,2025-06-13,Departure,2025-06-13 06:03-07:00,2025-06-13 13:03Z,2025-06-13 06:09-07:00,2025-06-13 13:09Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N631QX,2025-06-13T06:00:00,13.1,10.3,22.3,0.0,0.0,,100,3,,,,,,,,,,,
AS 2132,Alaska,2025-06-13,Departure,2025-06-13 13:40-07:00,2025-06-13 20:40Z,2025-06-13 14:13-07:00,2025-06-13 21:13Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N663QX,2025-06-13T14:00:00,21.1,9.2,24.8,0.0,0.0,,10,0,,,,,,,,,,,
AS 2439,Alaska,2025-06-13,Departure,2025-06-13 19:23-07:00,2025-06-14 02:23Z,2025-06-13 19:54-07:00,2025-06-14 02:54Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N662QX,2025-06-13T19:00:00,19.1,5.2,14.0,0.0,0.0,,79,2,,,,,,,,,,,
AS 2364,Alaska,2025-06-13,Arrival,2025-06-13 00:09-07:00,2025-06-13 07:09Z,2025-06-13 00:01-07:00,2025-06-13 07:01Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N631QX,2025-06-13T00:00:00,17.0,15.1,27.0,0.0,0.0,,69,2,,,,,,,,,,,
AS 2152,Alaska,2025-06-13,Arrival,2025-06-13 13:03-07:00,2025-06-13 20:03Z,2025-06-13 13:22-07:00,2025-06-13 20:22Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N663QX,2025-06-13T13:00:00,20.6,9.4,25.2,0.0,0.0,,5,0,,,,,,,,,,,
AS 2438,Alaska,2025-06-13,Arrival,2025-06-13 18:43-07:00,2025-06-14 01:43Z,2025-06-13 18:59-07:00,2025-06-14 01:59Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N662QX,2025-06-13T19:00:00,19.1,5.2,14.0,0.0,0.0,,79,2,,,,,,,,,,,
AS 2364,Alaska,2025-06-13,Arrival,2025-06-14 00:09-07:00,2025-06-14 07:09Z,2025-06-13 23:58-07:00,2025-06-14 06:58Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N643QX,2025-06-14T00:00:00,13.9,13.0,24.8,0.0,0.0,,2,0,,,,,,,,,,,
AS 2067,Alaska,2025-06-14,Departure,2025-06-14 06:03-07:00,2025-06-14 13:03Z,2025-06-14 06:01-07:00,2025-06-14 13:01Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N643QX,2025-06-14T06:00:00,10.0,9.7,20.2,0.0,0.0,,11,0,,,,,,,,,,,
AS 2132,Alaska,2025-06-14,Departure,2025-06-14 13:40-07:00,2025-06-14 20:40Z,2025-06-14 15:15-07:00,2025-06-14 22:15Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N649QX,2025-06-14T14:00:00,20.4,10.5,26.3,0.0,0.0,,0,0,,,,,,,,,,,
AS 2439,Alaska,2025-06-14,Departure,2025-06-14 19:23-07:00,2025-06-15 02:23Z,,,CanceledUncertain,True,KPUW,PUW,KSEA,SEA,Embraer 175,,2025-06-14T19:00:00,17.6,5.2,17.3,0.0,0.0,,97,3,,,,,,,,,,,
AS 2152,Alaska,2025-06-14,Arrival,2025-06-14 13:03-07:00,2025-06-14 20:03Z,2025-06-14 13:03-07:00,2025-06-14 20:03Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N649QX,2025-06-14T13:00:00,19.6,9.7,27.0,0.0,0.0,,1,0,,,,,,,,,,,
AS 2438,Alaska,2025-06-14,Arrival,2025-06-14 18:43-07:00,2025-06-15 01:43Z,2025-06-14 18:19-07:00,2025-06-15 01:19Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N664QX,2025-06-14T19:00:00,17.6,5.2,17.3,0.0,0.0,,97,3,,,,,,,,,,,
AS 2364,Alaska,2025-06-14,Arrival,2025-06-15 00:09-07:00,2025-06-15 07:09Z,2025-06-14 23:44-07:00,2025-06-15 06:44Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N635QX,2025-06-15T00:00:00,14.1,0.9,4.3,0.0,0.0,,10,0,,,,,,,,,,,
AS 2067,Alaska,2025-06-15,Departure,2025-06-15 06:03-07:00,2025-06-15 13:03Z,2025-06-15 06:02-07:00,2025-06-15 13:02Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N635QX,2025-06-15T06:00:00,13.1,2.9,4.0,0.0,0.0,,100,3,,,,,,,,,,,
AS 2132,Alaska,2025-06-15,Departure,2025-06-15 13:40-07:00,2025-06-15 20:40Z,2025-06-15 14:30-07:00,2025-06-15 21:30Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N667QX,2025-06-15T14:00:00,22.7,7.9,21.2,0.0,0.0,,0,0,,,,,,,,,,,
1I 548,NetJets Aviation,2025-06-15,Departure,2025-06-15 16:15-07:00,2025-06-15 23:15Z,2025-06-15 18:10-07:00,2025-06-16 01:10Z,Departed,False,KPUW,PUW,KJAC,JAC,Cessna 680A Citation Latitude,N548QS,2025-06-15T16:00:00,23.3,4.0,17.3,0.0,0.0,,0,0,,,,,,,,,,,
AS 2439,Alaska,2025-06-15,Departure,2025-06-15 19:23-07:00,2025-06-16 02:23Z,2025-06-15 19:24-07:00,2025-06-16 02:24Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N625QX,2025-06-15T19:00:00,21.2,2.4,7.6,0.0,0.0,,16,0,,,,,,,,,,,
1I 548,NetJets Aviation,2025-06-15,Arrival,2025-06-15 11:11-07:00,2025-06-15 18:11Z,2025-06-15 12:22-07:00,2025-06-15 19:22Z,Expected,False,KJAC,JAC,KPUW,PUW,Cessna 680A Citation Latitude,N548QS,2025-06-15T11:00:00,19.9,6.5,20.2,0.0,0.0,,0,0,,,,,,,,,,,
AS 2152,Alaska,2025-06-15,Arrival,2025-06-15 13:03-07:00,2025-06-15 20:03Z,2025-06-15 13:29-07:00,2025-06-15 20:29Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N667QX,2025-06-15T13:00:00,22.1,7.5,21.2,0.0,0.0,,0,0,,,,,,,,,,,
AS 2438,Alaska,2025-06-15,Arrival,2025-06-15 18:43-07:00,2025-06-16 01:43Z,2025-06-15 18:40-07:00,2025-06-16 01:40Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N625QX,2025-06-15T19:00:00,21.2,2.4,7.6,0.0,0.0,,16,0,,,,,,,,,,,
AS 2067,Alaska,2025-06-16,Departure,2025-06-16 06:03-07:00,2025-06-16 13:03Z,2025-06-16 06:03-07:00,2025-06-16 13:03Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N644QX,2025-06-16T06:00:00,16.3,1.7,4.0,0.0,0.0,,86,3,,,,,,,,,,,
AS 2132,Alaska,2025-06-16,Departure,2025-06-16 13:40-07:00,2025-06-16 20:40Z,2025-06-16 13:59-07:00,2025-06-16 20:59Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N652MK,2025-06-16T14:00:00,25.6,8.8,23.8,0.0,0.0,,4,0,,,,,,,,,,,
AS 2439,Alaska,2025-06-16,Departure,2025-06-16 19:23-07:00,2025-06-17 02:23Z,2025-06-16 19:50-07:00,2025-06-17 02:50Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N641QX,2025-06-16T19:00:00,22.0,9.8,19.1,0.0,0.0,,93,3,,,,,,,,,,,
AS 2364,Alaska,2025-06-16,Arrival,2025-06-16 00:09-07:00,2025-06-16 07:09Z,2025-06-16 00:39-07:00,2025-06-16 07:39Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N644QX,2025-06-16T00:00:00,16.1,1.7,2.9,0.0,0.0,,100,3,,,,,,,,,,,
AS 2152,Alaska,2025-06-16,Arrival,2025-06-16 13:03-07:00,2025-06-16 20:03Z,2025-06-16 13:04-07:00,2025-06-16 20:04Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N652MK,2025-06-16T13:00:00,25.1,9.5,23.8,0.0,0.0,,92,3,,,,,,,,,,,
AS 2438,Alaska,2025-06-16,Arrival,2025-06-16 18:43-07:00,2025-06-17 01:43Z,2025-06-16 19:07-07:00,2025-06-17 02:07Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N641QX,2025-06-16T19:00:00,22.0,9.8,19.1,0.0,0.0,,93,3,,,,,,,,,,,
AS 2067,Alaska,2025-06-17,Departure,2025-06-17 06:03-07:00,2025-06-17 13:03Z,2025-06-17 06:45-07:00,2025-06-17 13:45Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N639QX,2025-06-17T06:00:00,13.8,7.2,13.0,0.0,0.0,,0,0,,,,,,,,,,,
AS 2132,Alaska,2025-06-17,Departure,2025-06-17 13:40-07:00,2025-06-17 20:40Z,2025-06-17 14:03-07:00,2025-06-17 21:03Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N658QX,2025-06-17T14:00:00,23.1,12.9,31.0,0.0,0.0,,100,3,,,,,,,,,,,
AS 2439,Alaska,2025-06-17,Departure,2025-06-17 19:23-07:00,2025-06-18 02:23Z,2025-06-17 19:32-07:00,2025-06-18 02:32Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N663QX,2025-06-17T19:00:00,20.2,7.6,18.4,0.0,0.0,,0,0,,,,,,,,,,,
AS 2364,Alaska,2025-06-17,Arrival,2025-06-17 00:09-07:00,2025-06-17 07:09Z,2025-06-17 00:07-07:00,2025-06-17 07:07Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N639QX,2025-06-17T00:00:00,16.9,11.3,22.0,0.0,0.0,,9,0,,,,,,,,,,,
AS 2152,Alaska,2025-06-17,Arrival,2025-06-17 13:03-07:00,2025-06-17 20:03Z,2025-06-17 13:09-07:00,2025-06-17 20:09Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N658QX,2025-06-17T13:00:00,22.7,13.1,31.3,0.0,0.0,,31,1,,,,,,,,,,,
AS 2438,Alaska,2025-06-17,Arrival,2025-06-17 18:43-07:00,2025-06-18 01:43Z,2025-06-17 18:31-07:00,2025-06-18 01:31Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N663QX,2025-06-17T19:00:00,20.2,7.6,18.4,0.0,0.0,,0,0,,,,,,,,,,,
AS 2364,Alaska,2025-06-17,Arrival,2025-06-18 00:09-07:00,2025-06-18 07:09Z,2025-06-17 23:51-07:00,2025-06-18 06:51Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N660QX,2025-06-18T00:00:00,16.6,7.7,13.7,0.0,0.0,,0,0,,,,,,,,,,,
AS 2067,Alaska,2025-06-18,Departure,2025-06-18 06:03-07:00,2025-06-18 13:03Z,2025-06-18 06:03-07:00,2025-06-18 13:03Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N660QX,2025-06-18T06:00:00,16.9,3.5,6.5,0.0,0.0,,0,0,,,,,,,,,,,
AS 2132,Alaska,2025-06-18,Departure,2025-06-18 13:40-07:00,2025-06-18 20:40Z,2025-06-18 14:30-07:00,2025-06-18 21:30Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N641QX,2025-06-18T14:00:00,24.1,13.7,31.0,0.0,0.0,,0,0,,,,,,,,,,,
AS 2439,Alaska,2025-06-18,Departure,2025-06-18 19:23-07:00,2025-06-19 02:23Z,2025-06-18 19:36-07:00,2025-06-19 02:36Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N637QX,2025-06-18T19:00:00,21.4,20.7,43.2,0.0,0.0,,0,0,,,,,,,,,,,
AS 2152,Alaska,2025-06-18,Arrival,2025-06-18 13:03-07:00,2025-06-18 20:03Z,2025-06-18 13:33-07:00,2025-06-18 20:33Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N641QX,2025-06-18T13:00:00,23.4,12.6,30.6,0.0,0.0,,0,0,,,,,,,,,,,
AS 2438,Alaska,2025-06-18,Arrival,2025-06-18 18:43-07:00,2025-06-19 01:43Z,2025-06-18 18:30-07:00,2025-06-19 01:30Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N637QX,2025-06-18T19:00:00,21.4,20.7,43.2,0.0,0.0,,0,0,,,,,,,,,,,
AS 2364,Alaska,2025-06-18,Arrival,2025-06-19 00:09-07:00,2025-06-19 07:09Z,2025-06-18 23:55-07:00,2025-06-19 06:55Z,Expected,False,KSEA,SEA,KPUW,PUW,Embraer 175,N659QX,2025-06-19T00:00:00,15.2,10.1,24.1,0.0,0.0,,64,2,,,,,,,,,,,
AS 2067,Alaska,2025-06-19,Departure,2025-06-19 06:03-07:00,2025-06-19 13:03Z,2025-06-19 06:08-07:00,2025-06-19 13:08Z,Departed,False,KPUW,PUW,KSEA,SEA,Embraer 175,N659QX,2025-06-19T06:00:00,11.9,10.8,22.0,0.0,0.0,,37,1,,,,,,,,,,,
